Epoch 0, acc: 1.820000, loss: 6.619215
Epoch 1, acc: 15.120000, loss: 5.129863
Epoch 2, acc: 63.070000, loss: 2.807746
Epoch 3, acc: 82.390000, loss: 1.172571
Epoch 4, acc: 91.160000, loss: 0.463032
Epoch 5, acc: 94.740000, loss: 0.222484
Epoch 6, acc: 96.830000, loss: 0.122638
Epoch 7, acc: 97.890000, loss: 0.079842
Epoch 8, acc: 98.240000, loss: 0.060925
Epoch 9, acc: 98.420000, loss: 0.052871
Epoch 10, acc: 98.540000, loss: 0.049258
Epoch 11, acc: 98.560000, loss: 0.046632
Epoch 12, acc: 98.620000, loss: 0.044778
Epoch 13, acc: 98.670000, loss: 0.043235
Epoch 14, acc: 98.730000, loss: 0.042293
Epoch 15, acc: 98.740000, loss: 0.041228
Epoch 16, acc: 98.790000, loss: 0.040039
Epoch 17, acc: 98.770000, loss: 0.039512
Epoch 18, acc: 98.850000, loss: 0.037867
Epoch 19, acc: 98.890000, loss: 0.037249
